"Census","School Name","Category","Year Level","Students"
"14 February 2025","Fadden Primary School","Gov","Year 4","31"
"14 February 2025","Fadden Primary School","Gov","Preschool","23"
"14 February 2025","Fadden Primary School","Gov","Kindergarten","29"
"14 February 2025","Fadden Primary School","Gov","Year 1","37"
"14 February 2025","Fadden Primary School","Gov","Year 2","30"
"14 February 2025","Fadden Primary School","Gov","Year 3","35"
"14 February 2025","Fadden Primary School","Gov","Year 5","37"
"14 February 2025","Fadden Primary School","Gov","Year 6","30"
"14 February 2025","Farrer Primary School","Gov","Kindergarten","34"
"14 February 2025","Farrer Primary School","Gov","Preschool","44"
"14 February 2025","Farrer Primary School","Gov","Year 6","23"
"14 February 2025","Farrer Primary School","Gov","Year 5","39"
"14 February 2025","Farrer Primary School","Gov","Year 4","36"
"14 February 2025","Farrer Primary School","Gov","Year 1","38"
"14 February 2025","Farrer Primary School","Gov","Year 2","41"
"14 February 2025","Farrer Primary School","Gov","Year 3","41"
"14 February 2025","Florey Primary School","Gov","Year 6","54"
"14 February 2025","Florey Primary School","Gov","Year 4","68"
"14 February 2025","Florey Primary School","Gov","Year 3","60"
"14 February 2025","Florey Primary School","Gov","Year 2","54"
"14 February 2025","Florey Primary School","Gov","Year 1","50"
"14 February 2025","Florey Primary School","Gov","Kindergarten","64"
"14 February 2025","Florey Primary School","Gov","Preschool","63"
"14 February 2025","Florey Primary School","Gov","Year 5","52"
"14 February 2025","Forrest Primary School","Gov","Year 5","86"
"14 February 2025","Forrest Primary School","Gov","Year 4","63"
"14 February 2025","Forrest Primary School","Gov","Year 3","74"
"14 February 2025","Forrest Primary School","Gov","Year 2","56"
"14 February 2025","Forrest Primary School","Gov","Year 1","61"
"14 February 2025","Forrest Primary School","Gov","Kindergarten","52"
"14 February 2025","Forrest Primary School","Gov","Preschool","35"
"14 February 2025","Forrest Primary School","Gov","Year 6","78"
"14 February 2025","Franklin School","Gov","Year 5","63"
"14 February 2025","Franklin School","Gov","Preschool","72"
"14 February 2025","Franklin School","Gov","Kindergarten","80"
"14 February 2025","Franklin School","Gov","Year 1","73"
"14 February 2025","Franklin School","Gov","Year 2","68"
"14 February 2025","Franklin School","Gov","Year 3","69"
"14 February 2025","Franklin School","Gov","Year 4","70"
"14 February 2025","Franklin School","Gov","Year 6","48"
"14 February 2025","Fraser Primary School","Gov","Year 6","78"
"14 February 2025","Fraser Primary School","Gov","Year 5","77"
"14 February 2025","Fraser Primary School","Gov","Year 3","69"
"14 February 2025","Fraser Primary School","Gov","Year 2","53"
"14 February 2025","Fraser Primary School","Gov","Year 1","57"
"14 February 2025","Fraser Primary School","Gov","Kindergarten","60"
"14 February 2025","Fraser Primary School","Gov","Preschool","53"
"14 February 2025","Fraser Primary School","Gov","Year 4","69"
"14 February 2025","Garran Primary School","Gov","Year 5","105"
"14 February 2025","Garran Primary School","Gov","Preschool","44"
"14 February 2025","Garran Primary School","Gov","Kindergarten","80"
"14 February 2025","Garran Primary School","Gov","Year 1","84"
"14 February 2025","Garran Primary School","Gov","Year 2","90"
"14 February 2025","Garran Primary School","Gov","Year 3","108"
"14 February 2025","Garran Primary School","Gov","Year 4","92"
"14 February 2025","Garran Primary School","Gov","Year 6","83"
"14 February 2025","Gilmore Primary School","Gov","Year 5","20"
"14 February 2025","Gilmore Primary School","Gov","Preschool","26"
"14 February 2025","Gilmore Primary School","Gov","Kindergarten","13"
"14 February 2025","Gilmore Primary School","Gov","Year 1","20"
"14 February 2025","Gilmore Primary School","Gov","Year 2","25"
"14 February 2025","Gilmore Primary School","Gov","Year 3","10"
"14 February 2025","Gilmore Primary School","Gov","Year 4","17"
"14 February 2025","Gilmore Primary School","Gov","Year 6","11"
"14 February 2025","Giralang Primary School","Gov","Year 3","37"
"14 February 2025","Giralang Primary School","Gov","Preschool","31"
"14 February 2025","Giralang Primary School","Gov","Kindergarten","32"
"14 February 2025","Giralang Primary School","Gov","Year 1","31"
"14 February 2025","Giralang Primary School","Gov","Year 2","34"
"14 February 2025","Giralang Primary School","Gov","Year 4","49"
"14 February 2025","Giralang Primary School","Gov","Year 5","49"
"14 February 2025","Giralang Primary School","Gov","Year 6","39"
"14 February 2025","Gold Creek School","Gov","Year 10","173"
"14 February 2025","Gold Creek School","Gov","Preschool","102"
"14 February 2025","Gold Creek School","Gov","Kindergarten","78"
"14 February 2025","Gold Creek School","Gov","Year 1","82"
"14 February 2025","Gold Creek School","Gov","Year 2","84"
"14 February 2025","Gold Creek School","Gov","Year 3","78"
"14 February 2025","Gold Creek School","Gov","Year 4","74"
"14 February 2025","Gold Creek School","Gov","Year 5","89"
"14 February 2025","Gold Creek School","Gov","Year 6","80"
"14 February 2025","Gold Creek School","Gov","Year 7","139"
"14 February 2025","Gold Creek School","Gov","Year 8","176"
"14 February 2025","Gold Creek School","Gov","Year 9","189"
"14 February 2025","Good Shepherd Primary School","Non Gov","year 6","106"
"14 February 2025","Good Shepherd Primary School","Non Gov","Year 1","110"
"14 February 2025","Good Shepherd Primary School","Non Gov","Year 2","108"
"14 February 2025","Good Shepherd Primary School","Non Gov","Year 3","111"
"14 February 2025","Good Shepherd Primary School","Non Gov","Kindergarten","108"
"14 February 2025","Good Shepherd Primary School","Non Gov","Year 4","112"
"14 February 2025","Good Shepherd Primary School","Non Gov","Year 5","112"
"14 February 2025","Gordon Primary School","Gov","Year 5","58"
"14 February 2025","Gordon Primary School","Gov","Year 6","56"
"14 February 2025","Gordon Primary School","Gov","Preschool","66"
"14 February 2025","Gordon Primary School","Gov","Kindergarten","50"
"14 February 2025","Gordon Primary School","Gov","Year 1","54"
"14 February 2025","Gordon Primary School","Gov","Year 2","53"
"14 February 2025","Gordon Primary School","Gov","Year 3","70"
"14 February 2025","Gordon Primary School","Gov","Year 4","67"
"14 February 2025","Gowrie Primary School","Gov","Year 4","30"
"14 February 2025","Gowrie Primary School","Gov","Preschool","39"
"14 February 2025","Gowrie Primary School","Gov","Kindergarten","34"
"14 February 2025","Gowrie Primary School","Gov","Year 1","38"
