"School","SA1","No. of Students"
"Charles Conder Primary School","80107107105","10"
"Charles Conder Primary School","80107107102","12"
"Charles Conder Primary School","80107107513","12"
"Charles Conder Primary School","80107107517","12"
"Charles Conder Primary School","80107107107","13"
"Charles Conder Primary School","80107107113","13"
"Charles Conder Primary School","80107107106","15"
"Charles Conder Primary School","80107107114","15"
"Charles Conder Primary School","80107107112","17"
"Charles Conder Primary School","80107107505","20"
"Charles Conder Primary School","80107107507","20"
"Charles Conder Primary School","80107107109","21"
"Charles Conder Primary School","80107107110","22"
"Charles Conder Primary School","80107107108","23"
"Charles Conder Primary School","80107107510","28"
"Charles Conder Primary School","80107107506","37"
"Charnwood-Dunlop School","80101101909","5"
"Charnwood-Dunlop School","80101100612","6"
"Charnwood-Dunlop School","80101100622","6"
"Charnwood-Dunlop School","80101100609","7"
"Charnwood-Dunlop School","80101100611","7"
"Charnwood-Dunlop School","80101100613","8"
"Charnwood-Dunlop School","80101100408","9"
"Charnwood-Dunlop School","80101100604","9"
"Charnwood-Dunlop School","80101100614","9"
"Charnwood-Dunlop School","80101100617","9"
"Charnwood-Dunlop School","80101100608","12"
"Charnwood-Dunlop School","80101100610","12"
"Charnwood-Dunlop School","80101100616","13"
"Charnwood-Dunlop School","80101100405","15"
"Charnwood-Dunlop School","80101100409","18"
"Charnwood-Dunlop School","80101100402","19"
"Charnwood-Dunlop School","80101100404","22"
"Charnwood-Dunlop School","80101100623","23"
"Charnwood-Dunlop School","80101100403","25"
"Charnwood-Dunlop School","80101100406","29"
"Curtin Primary School","80107108229","5"
"Curtin Primary School","80108109605","5"
"Curtin Primary School","80109110805","5"
"Curtin Primary School","80110113902","5"
"Curtin Primary School","80109110505","6"
"Curtin Primary School","80109110507","7"
"Curtin Primary School","80109110504","8"
"Curtin Primary School","80109110007","9"
"Curtin Primary School","80109110001","12"
"Curtin Primary School","80109110506","15"
"Curtin Primary School","80109110005","21"
"Curtin Primary School","80109110003","23"
"Curtin Primary School","80109110006","23"
"Curtin Primary School","80109110011","23"
"Curtin Primary School","80109110502","26"
"Curtin Primary School","80109110009","30"
"Curtin Primary School","80109110002","31"
"Curtin Primary School","80109110010","33"
"Curtin Primary School","80109110012","35"
"Curtin Primary School","80109110004","45"
"Curtin Primary School","80109110008","48"
"Dickson College","10106154221","5"
"Dickson College","80101100901","5"
"Dickson College","80101101619","5"
"Dickson College","80105105001","5"
"Dickson College","80105105005","5"
"Dickson College","80105105401","5"
"Dickson College","80105105501","5"
"Dickson College","80105105503","5"
"Dickson College","80105105504","5"
"Dickson College","80105105507","5"
"Dickson College","80105105804","5"
"Dickson College","80105106109","5"
"Dickson College","80105106110","5"
"Dickson College","10106154213","6"
"Dickson College","80105105604","6"
"Dickson College","80105105801","6"
"Dickson College","80105105808","6"
"Dickson College","80105106006","6"
"Dickson College","80105106119","6"
"Dickson College","80105105404","7"
"Dickson College","80105105406","7"
"Dickson College","80105106112","7"
"Dickson College","10102101125","8"
"Dickson College","10102101145","8"
"Dickson College","80105105011","8"
"Dickson College","80105105014","8"
"Dickson College","80105106101","8"
"Dickson College","80105106107","8"
"Dickson College","80105105508","9"
"Dickson College","80105105509","9"
"Dickson College","80105105602","10"
"Dickson College","80105105607","10"
"Dickson College","80105106108","10"
"Dickson College","80105105013","11"
"Duffy Primary School","80108109101","5"
"Duffy Primary School","80108109804","5"
"Duffy Primary School","80110113906","5"
"Duffy Primary School","80108109802","7"
"Duffy Primary School","80108109209","8"
"Duffy Primary School","80108109505","8"
"Duffy Primary School","80108109508","8"
"Duffy Primary School","80108109404","11"
"Duffy Primary School","80108109401","12"
"Duffy Primary School","80108109203","13"
"Duffy Primary School","80108109204","13"
"Duffy Primary School","80108109403","13"
"Duffy Primary School","80108109407","13"
"Duffy Primary School","80111114003","13"
"Duffy Primary School","80108109202","14"
"Duffy Primary School","80108109206","14"
"Duffy Primary School","80108109207","14"
"Duffy Primary School","80108109406","17"
"Duffy Primary School","80108109812","17"
"Duffy Primary School","80108109205","18"
"Duffy Primary School","80108109405","20"
"Duffy Primary School","80108109201","21"
"Duffy Primary School","80108109208","30"
"Erindale College","80107107110","5"
"Erindale College","80107107405","5"
"Erindale College","80107107608","5"
"Erindale College","80107107805","5"
"Erindale College","80107107821","5"
"Erindale College","80107107909","5"
"Erindale College","80107108231","5"
"Erindale College","80107108703","5"
"Erindale College","80107108810","5"
"Erindale College","80107109004","5"
"Erindale College","80107109006","5"
"Erindale College","80107109010","5"
"Erindale College","80107109014","5"
"Erindale College","80107107407","6"
"Erindale College","80107107510","6"
"Erindale College","80107107604","6"
"Erindale College","80107108415","6"
